Color	GeneOfInterest	HighConfidence	incoming	MultiVariant	name	protein_name	selected	shared name	TopVariant
gray	N	N	N	N	ENSP00000370373	FKBP1B	False	ENSP00000370373	N
gray	N	N	N	N	ENSP00000253262	NUTM2F	False	ENSP00000253262	N
gray	N	N	N	N	ENSP00000305918	BRD3	False	ENSP00000305918	N
orange	N	Y	ENSG00000183310	N	ENSP00000330904	OR2T34	False	ENSP00000330904	Y
orange	N	Y	ENSG00000154079	N	ENSP00000359505	SDHAF4	False	ENSP00000359505	Y
gray	N	N	N	N	ENSP00000350353	ETFBKMT	False	ENSP00000350353	N
gray	N	N	N	N	ENSP00000414066	SDHAF3	False	ENSP00000414066	N
gray	N	N	N	N	ENSP00000363822	AR	False	ENSP00000363822	N
gray	N	N	N	N	ENSP00000497806	DLG4	False	ENSP00000497806	N
gray	N	N	N	N	ENSP00000275560	SSC4D	False	ENSP00000275560	N
gray	N	N	N	N	ENSP00000295731	IHH	False	ENSP00000295731	N
gray	N	N	N	N	ENSP00000467537	PTPRS	False	ENSP00000467537	N
gray	N	N	N	N	ENSP00000366488	PRKACG	False	ENSP00000366488	N
green	N	Y	ENSG00000198838	Y	ENSP00000489262	RYR3	False	ENSP00000489262	N
gray	N	N	N	N	ENSP00000331167	LMNTD2	False	ENSP00000331167	N
gray	N	N	N	N	ENSP00000401303	SHC1	False	ENSP00000401303	N
green	N	Y	ENSG00000126243	Y	ENSP00000246529	LRFN3	False	ENSP00000246529	N
gray	N	N	N	N	ENSP00000353030	PTPRF	False	ENSP00000353030	N
gray	N	N	N	N	ENSP00000282611	CATSPER3	False	ENSP00000282611	N
green	N	Y	ENSG00000186204	Y	ENSP00000448998	CYP4F12	False	ENSP00000448998	N
gray	N	N	N	N	ENSP00000368876	TOGARAM2	False	ENSP00000368876	N
gray	N	N	N	N	ENSP00000349486	SCRIB	False	ENSP00000349486	N
gray	N	N	N	N	ENSP00000291295	CALM3	False	ENSP00000291295	N
gray	N	N	N	N	ENSP00000261636	ARL1	False	ENSP00000261636	N
