"Color","GeneOfInterest","HighConfidence","incoming","MultiVariant","name","protein_name","selected","shared name","TopVariant"
,,,,,"ENSP00000368876",,"false","ENSP00000368876",
,,,,,"ENSP00000349486",,"false","ENSP00000349486",
,,,,,"ENSP00000291295",,"false","ENSP00000291295",
,,,,,"ENSP00000261636",,"false","ENSP00000261636",
,,,,,"ENSP00000387535",,"false","ENSP00000387535",
,,,,,"ENSP00000378368",,"false","ENSP00000378368",
,,,,,"ENSP00000419970",,"false","ENSP00000419970",
,,,,,"ENSP00000391669",,"false","ENSP00000391669",
,,,,,"ENSP00000360576",,"false","ENSP00000360576",
,,,,,"ENSP00000387261",,"false","ENSP00000387261",
,,,,,"ENSP00000482609",,"false","ENSP00000482609",
"orange","N","Y","ENSG00000175356","N","ENSP00000310658","SCUBE2","false","ENSP00000310658","Y"
,,,,,"ENSP00000267257",,"false","ENSP00000267257",
"blue","N","N","ENSG00000184292","N","ENSP00000360269","TACSTD2","false","ENSP00000360269","N"
,,,,,"ENSP00000367913",,"false","ENSP00000367913",
,,,,,"ENSP00000369689",,"false","ENSP00000369689",
,,,,,"ENSP00000378702",,"false","ENSP00000378702",
"green","N","Y","ENSG00000171813","Y","ENSP00000306324","PWWP2B","false","ENSP00000306324","N"
,,,,,"ENSP00000338207",,"false","ENSP00000338207",
"orange","N","Y","ENSG00000157322","N","ENSP00000484176","CLEC18A","false","ENSP00000484176","Y"
,,,,,"ENSP00000444052",,"false","ENSP00000444052",
,,,,,"ENSP00000454407",,"false","ENSP00000454407",
,,,,,"ENSP00000315299",,"false","ENSP00000315299",
,,,,,"ENSP00000258662",,"false","ENSP00000258662",
,,,,,"ENSP00000341189",,"false","ENSP00000341189",
,,,,,"ENSP00000409581",,"false","ENSP00000409581",
,,,,,"ENSP00000376345",,"false","ENSP00000376345",
,,,,,"ENSP00000343248",,"false","ENSP00000343248",
,,,,,"ENSP00000431284",,"false","ENSP00000431284",
,,,,,"ENSP00000376077",,"false","ENSP00000376077",
,,,,,"ENSP00000391601",,"false","ENSP00000391601",
"green","N","Y","ENSG00000146757","Y","ENSP00000332595","ZNF92","false","ENSP00000332595","N"
,,,,,"ENSP00000265171",,"false","ENSP00000265171",
,,,,,"ENSP00000375656",,"false","ENSP00000375656",
"orange","N","Y","ENSG00000140876","N","ENSP00000268533","NUDT7","false","ENSP00000268533","Y"
,,,,,"ENSP00000399970",,"false","ENSP00000399970",
,,,,,"ENSP00000433528",,"false","ENSP00000433528",
,,,,,"ENSP00000293217",,"false","ENSP00000293217",
,,,,,"ENSP00000258083",,"false","ENSP00000258083",
,,,,,"ENSP00000226279",,"false","ENSP00000226279",
,,,,,"ENSP00000309591",,"false","ENSP00000309591",
,,,,,"ENSP00000333984",,"false","ENSP00000333984",
,,,,,"ENSP00000301761",,"false","ENSP00000301761",
,,,,,"ENSP00000220003",,"false","ENSP00000220003",
,,,,,"ENSP00000281146",,"false","ENSP00000281146",
,,,,,"ENSP00000443130",,"false","ENSP00000443130",
,,,,,"ENSP00000355533",,"false","ENSP00000355533",
